3
0 0 5
0 1 3 4.5 90
 
0 0 29
0.00
14.04
26.57
36.87
45.00
51.34
56.31
60.26
63.43
68.20
71.57
74.05
75.96
77.47
78.69
79.70
80.54
81.25
81.87
82.41
82.87
83.29
83.66
83.99
84.29
84.56
84.81
85.03
85.24
 
0 0 20
0    
2    
5    
10    
15    
20    
25    
30    
35    
40    
45    
60    
75    
90    
105    
120    
135    
150    
165
180

97.49	52.15	21.40	8.37	4.50	3.29	2.63	2.18	1.80	1.51	1.33	1.00	0.81	0.84	0.95	1.05	1.17	1.30	1.54	1.70
87.08	44.85	16.74	6.51	3.42	2.51	2.01	1.70	1.44	1.24	1.12	0.83	0.66	0.69	0.80	0.90	0.99	1.08	1.28	1.47
80.97	39.11	13.64	5.70	2.90	2.05	1.69	1.43	1.23	1.02	0.89	0.68	0.55	0.60	0.68	0.74	0.81	0.89	0.99	1.27
78.75	33.88	11.26	4.62	2.54	1.67	1.41	1.24	1.06	0.86	0.72	0.58	0.45	0.50	0.56	0.65	0.00	0.00	0.00	1.11
73.10	29.30	9.73	3.83	2.05	1.46	1.24	1.05	0.90	0.73	0.60	0.48	0.38	0.41	0.49	0.57	0.00	0.00	0.00	0.98
67.77	26.27	8.28	2.91	1.82	1.25	1.09	0.95	0.79	0.62	0.51	0.41	0.33	0.36	0.41	0.51	0.00	0.00	0.00	0.87
63.37	23.50	7.16	2.49	1.54	1.10	0.96	0.83	0.67	0.53	0.43	0.35	0.28	0.30	0.37	0.43	0.00	0.00	0.00	0.75
59.74	21.77	6.41	2.10	1.25	0.97	0.83	0.73	0.61	0.48	0.39	0.33	0.27	0.27	0.34	0.39	0.00	0.00	0.00	0.64
56.43	19.68	5.81	1.91	1.14	0.88	0.76	0.64	0.52	0.42	0.34	0.29	0.23	0.23	0.29	0.34	0.00	0.00	0.00	0.51
53.11	17.97	5.27	1.76	1.00	0.80	0.69	0.57	0.46	0.36	0.31	0.26	0.21	0.21	0.26	0.31	0.00	0.00	0.00	0.45
51.77	16.53	4.79	1.59	0.90	0.80	0.64	0.52	0.42	0.32	0.29	0.23	0.18	0.20	0.23	0.29	0.00	0.00	0.00	0.40
51.16	15.35	4.30	1.42	0.83	0.70	0.56	0.44	0.37	0.30	0.27	0.20	0.17	0.19	0.21	0.28	0.00	0.00	0.00	0.00


194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81	194.81
255.20	253.40	251.20	249.40	246.90	244.11	239.70	234.95	226.50	219.40	213.00	190.53	171.58	158.53	144.90	134.90	129.90	129.20	133.37	146.10
316.00	312.70	309.40	307.19	303.40	295.60	277.80	261.26	240.00	220.39	204.52	177.33	148.22	116.40	95.90	82.50	76.60	76.70	80.39	95.20
366.20	370.05	371.40	368.48	362.80	341.50	299.48	254.30	225.10	196.96	180.00	143.40	117.20	92.30	71.00	59.60	54.41	49.49	51.80	65.83
